video_id,data_set,titles_emotion_cluster,titles_emotion_labels,titles_toxicity_cluster,titles_toxicity_labels,transcripts_emotion_cluster,transcripts_emotion_labels,transcripts_toxicity_cluster,transcripts_toxicity_labels,moviebarcodes_cluster,moviebarcodes_labels,titles_emotion_dominant,titles_toxicity_dominant,transcripts_emotion_dominant,transcripts_toxicity_dominant,tm_clusters,topics_string,content_creator_network_clusters,titles_emotion_dominant_weight
_0UET0Cu14A,APAC,7,titles_emo_8,2,titles_toxic_3,4,transcripts_emo_5,5,transcripts_toxic_6,0,mb_cluster_1,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,3,topic_3,3,0.430000156
zr7cvTlz89E,APAC,4,titles_emo_5,0,titles_toxic_1,6,transcripts_emo_7,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_ANTICIPATION,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_THREAT,3,topic_3,3,0.596562326
_-fjVqv_6p0,APAC,2,titles_emo_3,0,titles_toxic_1,2,transcripts_emo_3,3,transcripts_toxic_4,4,mb_cluster_5,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,3,0.553318024
_-uioSG7nYk,APAC,7,titles_emo_8,2,titles_toxic_3,2,transcripts_emo_3,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_JOY,transcripts_toxicity_THREAT,3,topic_3,3,0.447150648
Zv6z8m014E8,APAC,4,titles_emo_5,5,titles_toxic_6,0,transcripts_emo_1,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANTICIPATION,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,3,topic_3,3,0.355491966
_6CC25Pq6zM,APAC,2,titles_emo_3,2,titles_toxic_3,6,transcripts_emo_7,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_SURPRISE,transcripts_toxicity_THREAT,2,topic_2,3,0.773040235
ytT9TvR7prk,APAC,1,titles_emo_2,6,titles_toxic_7,3,transcripts_emo_4,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_THREAT,transcripts_emotion_DISGUST,transcripts_toxicity_THREAT,1,topic_1,2,0.294672608
_3YLqwdwo9E,APAC,2,titles_emo_3,2,titles_toxic_3,0,transcripts_emo_1,5,transcripts_toxic_6,0,mb_cluster_1,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,3,topic_3,3,0.62652123
_5ncYUeP7Iw,APAC,2,titles_emo_3,2,titles_toxic_3,5,transcripts_emo_6,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_FEAR,transcripts_toxicity_THREAT,3,topic_3,3,0.514092743
_5C3mJZU2w0,APAC,2,titles_emo_3,5,titles_toxic_6,4,transcripts_emo_5,1,transcripts_toxic_2,0,mb_cluster_1,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,3,topic_3,3,0.844999492
_7CW15OXnr8,APAC,4,titles_emo_5,2,titles_toxic_3,1,transcripts_emo_2,0,transcripts_toxic_1,1,mb_cluster_2,titles_emotion_ANTICIPATION,titles_toxicity_THREAT,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,2,topic_2,2,0.45658049
z4EJFt3cdkI,APAC,6,titles_emo_7,3,titles_toxic_4,3,transcripts_emo_4,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_FEAR,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_DISGUST,transcripts_toxicity_THREAT,1,topic_1,2,0.538559377
_9z5d9rB9sg,APAC,2,titles_emo_3,1,titles_toxic_2,4,transcripts_emo_5,1,transcripts_toxic_2,0,mb_cluster_1,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,2,topic_2,3,0.902970254
_95I_1rZiIs,APAC,7,titles_emo_8,0,titles_toxic_1,1,transcripts_emo_2,1,transcripts_toxic_2,3,mb_cluster_4,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_SADNESS,transcripts_toxicity_THREAT,1,topic_1,2,0.364972413
GIq9eGlzhVk,BalticOps,0,titles_emo_1,5,titles_toxic_6,5,transcripts_emo_6,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_FEAR,transcripts_toxicity_THREAT,0,topic_0,2,0
Ec1qAKQbEWw,BalticOps,1,titles_emo_2,1,titles_toxic_2,4,transcripts_emo_5,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,2,topic_2,0,0.493540734
29FXUhQ-cPc,BalticOps,3,titles_emo_4,1,titles_toxic_2,0,transcripts_emo_1,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,2,topic_2,0,0.66508621
vx9mfR2kWaw,BalticOps,5,titles_emo_6,1,titles_toxic_2,4,transcripts_emo_5,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,0,topic_0,2,0.677344501
QE-l0571hdY,BalticOps,1,titles_emo_2,2,titles_toxic_3,4,transcripts_emo_5,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,2,topic_2,0,0.365198761
p0vjmKCGsdI,BalticOps,0,titles_emo_1,5,titles_toxic_6,0,transcripts_emo_1,0,transcripts_toxic_1,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,2,topic_2,2,0
_gdx6KfXlbY,BalticOps,2,titles_emo_3,2,titles_toxic_3,2,transcripts_emo_3,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_JOY,transcripts_toxicity_THREAT,0,topic_0,3,0.795072556
V_l0H6bx1zQ,BalticOps,7,titles_emo_8,2,titles_toxic_3,4,transcripts_emo_5,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,2,topic_2,3,0.347829401
UfFzOOxH_vY,BalticOps,7,titles_emo_8,6,titles_toxic_7,1,transcripts_emo_2,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_SADNESS,transcripts_toxicity_THREAT,2,topic_2,2,0.225897551
h6ieNTt0xQw,BalticOps,7,titles_emo_8,0,titles_toxic_1,0,transcripts_emo_1,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,3,topic_3,2,0.384179413
f7WPRJ_RZtc,BalticOps,6,titles_emo_7,3,titles_toxic_4,4,transcripts_emo_5,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_FEAR,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,0,topic_0,1,0.703261435
iu40Inp8hfU,BalticOps,6,titles_emo_7,2,titles_toxic_3,5,transcripts_emo_6,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_FEAR,titles_toxicity_THREAT,transcripts_emotion_FEAR,transcripts_toxicity_THREAT,2,topic_2,1,0.518152535
x3D745FILH4,BalticOps,4,titles_emo_5,2,titles_toxic_3,6,transcripts_emo_7,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANTICIPATION,titles_toxicity_THREAT,transcripts_emotion_SURPRISE,transcripts_toxicity_THREAT,2,topic_2,3,0.585207105
eNZQXQKckIg,BalticOps,2,titles_emo_3,2,titles_toxic_3,5,transcripts_emo_6,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_FEAR,transcripts_toxicity_THREAT,2,topic_2,3,0.738415241
kMWnuKFZpmo,CE2019_Influential,3,titles_emo_4,0,titles_toxic_1,1,transcripts_emo_2,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_SADNESS,transcripts_toxicity_THREAT,1,topic_1,0,0.897531807
p4KK7j-wHMA,CE2019_Influential,7,titles_emo_8,0,titles_toxic_1,3,transcripts_emo_4,2,transcripts_toxic_3,3,mb_cluster_4,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.372513682
nGzgUSvlJzw,CE2019_Influential,2,titles_emo_3,5,titles_toxic_6,0,transcripts_emo_1,2,transcripts_toxic_3,0,mb_cluster_1,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,3,0.817606151
LRNqINI8XqA,CE2019_Influential,2,titles_emo_3,0,titles_toxic_1,6,transcripts_emo_7,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_IDENTITY-ATTACK,1,topic_1,3,0.595540285
h3lzkpLqrE0,CE2019_Influential,5,titles_emo_6,4,titles_toxic_5,7,transcripts_emo_8,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_INSULT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,0,topic_0,2,0.428355753
cDPeXoQUrbI,CE2019_Influential,3,titles_emo_4,0,titles_toxic_1,6,transcripts_emo_7,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_TOXICITY,3,topic_3,0,0.834338009
LeGCRbMVKBk,CE2019_Influential,7,titles_emo_8,4,titles_toxic_5,6,transcripts_emo_7,3,transcripts_toxic_4,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_INSULT,transcripts_emotion_SURPRISE,transcripts_toxicity_TOXICITY,3,topic_3,3,0.394200146
14N4EvXnHtA,CE2019_Influential,1,titles_emo_2,3,titles_toxic_4,4,transcripts_emo_5,4,transcripts_toxic_5,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,3,topic_3,0,0.366898626
EoiyJXsNerI,CE2019_Influential,5,titles_emo_6,3,titles_toxic_4,2,transcripts_emo_3,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,0,0.450333923
NgjhQxKb19M,CE2019_Influential,1,titles_emo_2,4,titles_toxic_5,3,transcripts_emo_4,2,transcripts_toxic_3,3,mb_cluster_4,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.402908713
XSe3vQCRXvI,CE2019_Influential,3,titles_emo_4,4,titles_toxic_5,2,transcripts_emo_3,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,0,0.928579509
VZBntuxFQwo,CE2019_Influential,3,titles_emo_4,0,titles_toxic_1,6,transcripts_emo_7,2,transcripts_toxic_3,3,mb_cluster_4,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,0,0.861602783
pR8ff8UQAvI,CE2019_Influential,2,titles_emo_3,0,titles_toxic_1,1,transcripts_emo_2,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_SADNESS,transcripts_toxicity_TOXICITY,3,topic_3,3,0.799662828
Zknt3wtmvJw,CE2019_Influential,1,titles_emo_2,0,titles_toxic_1,0,transcripts_emo_1,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,1,topic_1,0,0.363658845
hC0mzWlAHRI,CE2019_Influential,1,titles_emo_2,4,titles_toxic_5,0,transcripts_emo_1,3,transcripts_toxic_4,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,1,topic_1,2,0.3165631
XxA2Y9XyrpM,CE2019_Influential,3,titles_emo_4,4,titles_toxic_5,1,transcripts_emo_2,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,0,topic_0,0,0.592880249
_zgTxn1csA4,CE2019_Influential,1,titles_emo_2,3,titles_toxic_4,2,transcripts_emo_3,5,transcripts_toxic_6,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,0,0.23968026
62rqQbPDad4,CE2019_Influential,6,titles_emo_7,3,titles_toxic_4,6,transcripts_emo_7,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_FEAR,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_SURPRISE,transcripts_toxicity_TOXICITY,3,topic_3,1,0.324100584
RwBn261CY5o,CE2019_Influential,4,titles_emo_5,1,titles_toxic_2,0,transcripts_emo_1,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_ANTICIPATION,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,3,topic_3,3,0.47418648
juZ7dfu1XYg,CE2019_Influential,6,titles_emo_7,1,titles_toxic_2,2,transcripts_emo_3,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_FEAR,titles_toxicity_THREAT,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,1,0.420309365
BZByHISDnM8,CE2019_Suspicious,7,titles_emo_8,3,titles_toxic_4,6,transcripts_emo_7,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_SURPRISE,transcripts_toxicity_IDENTITY-ATTACK,2,topic_2,3,0.26328215
2BMUX2Vy-LA,CE2019_Suspicious,4,titles_emo_5,5,titles_toxic_6,3,transcripts_emo_4,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_ANTICIPATION,titles_toxicity_TOXICITY,transcripts_emotion_DISGUST,transcripts_toxicity_THREAT,3,topic_3,2,0.651755512
m_1_aMIeMcw,CE2019_Suspicious,7,titles_emo_8,2,titles_toxic_3,4,transcripts_emo_5,0,transcripts_toxic_1,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,0,topic_0,3,0.455717981
N3x76mF8Ffk,CE2019_Suspicious,7,titles_emo_8,6,titles_toxic_7,1,transcripts_emo_2,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_SADNESS,transcripts_toxicity_THREAT,3,topic_3,2,0.231143042
oWMpxvjSB6Y,CE2019_Suspicious,2,titles_emo_3,1,titles_toxic_2,4,transcripts_emo_5,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,1,topic_1,3,0.821000516
6YKSFt7y2vk,CE2019_Suspicious,6,titles_emo_7,1,titles_toxic_2,1,transcripts_emo_2,0,transcripts_toxic_1,1,mb_cluster_2,titles_emotion_FEAR,titles_toxicity_THREAT,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,0,topic_0,2,0.747579217
XOUp8BHtv3Y,CE2019_Suspicious,1,titles_emo_2,0,titles_toxic_1,3,transcripts_emo_4,1,transcripts_toxic_2,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_DISGUST,transcripts_toxicity_THREAT,3,topic_3,2,0.471936703
HSOorzE0EYg,CE2019_Suspicious,5,titles_emo_6,4,titles_toxic_5,3,transcripts_emo_4,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_DISGUST,titles_toxicity_INSULT,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.72217834
heoPMBghjvI,CE2019_Suspicious,7,titles_emo_8,2,titles_toxic_3,3,transcripts_emo_4,2,transcripts_toxic_3,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_THREAT,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.383227557
xw3hzs2JkHM,CE2019_Suspicious,6,titles_emo_7,3,titles_toxic_4,7,transcripts_emo_8,5,transcripts_toxic_6,0,mb_cluster_1,titles_emotion_FEAR,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,0,topic_0,1,0.385833234
9vXRPQB3yK4,CE2019_Suspicious,5,titles_emo_6,3,titles_toxic_4,1,transcripts_emo_2,3,transcripts_toxic_4,3,mb_cluster_4,titles_emotion_DISGUST,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_SADNESS,transcripts_toxicity_TOXICITY,0,topic_0,2,0.59469682
_AW_dnGxSlQ,CE2019_Suspicious,5,titles_emo_6,0,titles_toxic_1,1,transcripts_emo_2,0,transcripts_toxic_1,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_TOXICITY,transcripts_emotion_SADNESS,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.386260301
ZUFasGpIXuk,CE2019_Suspicious,7,titles_emo_8,3,titles_toxic_4,4,transcripts_emo_5,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,3,0.30967024
LMJ8UJ8wEiY,CE2019_Suspicious,5,titles_emo_6,1,titles_toxic_2,0,transcripts_emo_1,1,transcripts_toxic_2,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_THREAT,transcripts_emotion_ANGER,transcripts_toxicity_THREAT,3,topic_3,2,0.799652994
